scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge,min_time_to_converge,median_time_to_converge,max_time_to_converge,stnd_dev_time_to_converge
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.6,0.47738000000000286,0.47304000000000274,9,1000,490,1000,636.705,3,1000.0,1000,479.18252261012196
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.6,0.493524444444449,0.48344444444444784,9,1000,479,1000,323.686,3,19.0,1001,450.88898345823446
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.62,0.46974000000000327,0.4916900000000013,9,1000,522,1000,616.852,3,1000.0,1000,484.2564197777867
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.62,0.4902844444444489,0.4998344444444458,9,1000,523,1000,303.61,3,19.0,1000,441.7985738999165
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.64,0.470670000000003,0.5003999999999937,9,1000,518,1000,629.8,3,1000.0,1000,481.0009875249738
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.64,0.4937677777777812,0.5063988888888837,9,1000,533,1000,332.829,3,20.0,1001,450.97587048422
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.66,0.47409000000000295,0.5054800000000039,9,1000,505,1000,649.633,3,1000.0,1000,475.3796612298426
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.66,0.4902166666666705,0.5192333333333381,9,1000,543,1000,317.395,3,19.5,1000,446.5669971851928
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.68,0.4821100000000033,0.507300000000001,9,1000,474,1000,621.811,3,1000.0,1000,483.0745669966491
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.68,0.48610222222222566,0.5361966666666682,9,1000,576,1000,315.85,3,18.0,1000,443.927302043927
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.7000000000000001,0.4745600000000032,0.5261699999999956,9,1000,502,1000,605.85,3,1000.0,1000,486.78113511104766
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.7000000000000001,0.4847844444444482,0.5461455555555533,9,1000,584,1000,319.965,3,18.0,1000,444.23714137271327
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.7200000000000001,0.47667000000000315,0.5312400000000054,9,1000,491,1000,631.716,3,1000.0,1000,480.5665399754752
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.7200000000000001,0.48806333333333773,0.5535800000000068,9,1000,565,1000,307.183,3,19.0,1000,440.2552572213079
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.7400000000000001,0.4683600000000027,0.5562700000000032,9,1000,525,1000,624.794,3,1000.0,1000,482.33026192019094
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.7400000000000001,0.48440444444444836,0.5678611111111139,9,1000,575,1000,301.207,3,18.0,1000,438.8281214222717
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.7600000000000001,0.4725800000000032,0.5577399999999965,9,1000,506,1000,627.686,3,1000.0,1000,481.6835365714714
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.7600000000000001,0.47667333333333683,0.5904633333333291,9,1000,605,1000,323.032,3,19.0,1000,450.31924784090677
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.7800000000000001,0.47456000000000337,0.5635299999999918,9,1000,499,1000,654.623,3,1000.0,1000,473.79152891435285
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.7800000000000001,0.489861111111115,0.5771888888888816,9,1000,535,1000,309.877,3,17.5,1000,446.6144622277698
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.8000000000000002,0.4761700000000031,0.5713500000000002,9,1000,492,1000,633.671,3,1000.0,1000,480.07279318765814
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.8000000000000002,0.48477555555555973,0.5937277777777777,9,1000,553,1000,301.585,3,16.0,1000,445.12965613964656
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.8200000000000002,0.4783700000000032,0.5777899999999998,9,1000,485,1000,651.631,3,1000.0,1000,474.74814674625117
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.8200000000000002,0.4834511111111156,0.615973333333335,9,1000,600,1000,318.27,3,21.0,1000,446.76869306163337
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.8400000000000002,0.48105000000000353,0.5828699999999972,9,1000,475,1000,634.777,3,1000.0,1000,479.65430809177553
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.8400000000000002,0.4904277777777816,0.6131788888888879,9,1000,563,1000,306.584,3,20.0,1000,443.2025552092406
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.8600000000000002,0.47551000000000265,0.6022400000000062,9,1000,494,1000,649.625,3,1000.0,1000,475.3903978573821
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.8600000000000002,0.4879511111111151,0.6296022222222274,9,1000,586,1000,297.508,3,19.0,1000,437.5128500238593
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.8800000000000002,0.47466000000000275,0.619829999999999,9,1000,509,1000,619.825,3,1000.0,1000,483.5569897902418
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.8800000000000002,0.48627888888889265,0.641277777777776,9,1000,585,1000,307.841,3,19.0,1000,442.70046500879124
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.9000000000000002,0.4668400000000019,0.6436199999999955,9,1000,532,1000,631.762,3,1000.0,1000,480.5067318529471
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.9000000000000002,0.4887900000000042,0.6449155555555496,9,1000,565,1000,313.807,3,20.5,1000,446.1786410744019
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.9200000000000003,0.4728900000000025,0.6403199999999993,9,1000,509,1000,646.639,3,1000.0,1000,476.3055119133097
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.9200000000000003,0.4885988888888936,0.6491144444444424,9,1000,556,1000,302.924,3,18.0,1000,443.1721564177966
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.9400000000000003,0.47624000000000266,0.6429900000000064,9,1000,496,1000,627.806,3,1000.0,1000,481.52949480172026
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.9400000000000003,0.48936888888889285,0.6638533333333386,9,1000,557,1000,287.623,3,18.0,1000,434.5052184623333
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.9600000000000003,0.4832800000000036,0.6341700000000018,9,1000,467,1000,657.611,3,1000.0,1000,472.8178567683331
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.9600000000000003,0.4883322222222265,0.6698455555555568,9,1000,557,1000,302.118,3,17.0,1000,442.6468118895696
baseline,complete,N/A,N/A,0.33,0.33,0.01,0.01,0.6,0.9800000000000003,0.4772000000000026,0.6605200000000061,9,1000,494,1000,639.978,3,1000.0,1000,478.04637381325244
restrict_dissemination,star,random,N/A,0.33,0.33,0.01,0.01,0.6,0.9800000000000003,0.4878944444444485,0.6890511111111163,9,1000,566,1000,295.384,3,18.5,1000,439.18547624437673
