scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.6,0.5,0.5,9,100,514,1000,2.199
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.6,0.5,0.5,9,100,516,1000,49.838
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.62,0.5,0.5,9,100,511,1000,2.508
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.62,0.5,0.5,9,100,507,1000,53.053
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.64,0.5,0.5,9,100,508,1000,2.432
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.64,0.5,0.5,9,100,517,1000,52.499
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.66,0.5,0.5,9,100,503,1000,2.37
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.66,0.5,0.5,9,100,499,1000,51.726
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.68,0.5,0.5,9,100,489,1000,2.23
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.68,0.5,0.5,9,100,496,1000,53.223
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7000000000000001,0.5,0.5,9,100,478,1000,2.113
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7000000000000001,0.5,0.5,9,100,520,1000,51.808
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7200000000000001,0.5,0.5,9,100,485,1000,2.445
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7200000000000001,0.5,0.5,9,100,523,1000,52.187
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7400000000000001,0.5,0.5,9,100,487,1000,2.15
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7400000000000001,0.5,0.5,9,100,516,1000,53.994
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7600000000000001,0.5,0.5,9,100,506,1000,2.22
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7600000000000001,0.5,0.5,9,100,533,1000,53.622
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.7800000000000001,0.5,0.5,9,100,481,1000,2.314
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.7800000000000001,0.5,0.5,9,100,526,1000,53.225
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8000000000000002,0.5,0.5,9,100,506,1000,2.507
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8000000000000002,0.5,0.5,9,100,500,1000,52.56
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8200000000000002,0.5,0.5,9,100,513,1000,2.175
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8200000000000002,0.5,0.5,9,100,548,1000,52.372
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8400000000000002,0.5,0.5,9,100,492,1000,2.397
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8400000000000002,0.5,0.5,9,100,532,1000,52.561
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8600000000000002,0.5,0.5,9,100,529,1000,2.238
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8600000000000002,0.5,0.5,9,100,544,1000,52.338
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.8800000000000002,0.5,0.5,9,100,482,1000,2.294
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.8800000000000002,0.5,0.5,9,100,542,1000,54.815
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.9000000000000002,0.5,0.5,9,100,488,1000,2.271
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.9000000000000002,0.5,0.5,9,100,486,1000,51.684
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.9200000000000003,0.5,0.5,9,100,511,1000,2.307
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.9200000000000003,0.5,0.5,9,100,541,1000,52.298
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.9400000000000003,0.5,0.5,9,100,494,1000,2.307
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.9400000000000003,0.5,0.5,9,100,490,1000,53.159
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.9600000000000003,0.5,0.5,9,100,474,1000,2.34
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.9600000000000003,0.5,0.5,9,100,518,1000,52.67
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.6,0.9800000000000003,0.5,0.5,9,100,491,1000,2.29
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.6,0.9800000000000003,0.5,0.5,9,100,502,1000,53.556
