network_structure,ps[0],ps[1],num_agents,epsilon,n_steps,n_runs,proportion_converged
complete,0.5,0.501,9,0.0001,10,1000,559
complete,0.5,0.501,9,0.0001,100,1000,577
complete,0.5,0.501,9,0.0001,1000,1000,593
complete,0.5,0.501,9,0.0001,10000,1000,0
complete,0.5,0.501,9,0.0005,10,1000,554
complete,0.5,0.501,9,0.0005,100,1000,581
complete,0.5,0.501,9,0.0005,1000,1000,613
complete,0.5,0.501,9,0.0005,10000,1000,0
complete,0.5,0.501,9,0.001,10,1000,558
complete,0.5,0.501,9,0.001,100,1000,590
complete,0.5,0.501,9,0.001,1000,1000,648
complete,0.5,0.501,9,0.001,10000,1000,0
complete,0.5,0.501,9,0.002,10,1000,540
complete,0.5,0.501,9,0.002,100,1000,573
complete,0.5,0.501,9,0.002,1000,1000,677
complete,0.5,0.501,9,0.002,10000,1000,0
complete,0.5,0.501,9,0.005,10,1000,578
complete,0.5,0.501,9,0.005,100,1000,633
complete,0.5,0.501,9,0.005,1000,1000,772
complete,0.5,0.501,9,0.005,10000,1000,0
complete,0.5,0.501,9,0.01,10,1000,577
complete,0.5,0.501,9,0.01,100,1000,648
complete,0.5,0.501,9,0.01,1000,1000,828
complete,0.5,0.501,9,0.01,10000,1000,0
complete,0.5,0.501,9,0.02,10,1000,599
complete,0.5,0.501,9,0.02,100,1000,694
complete,0.5,0.501,9,0.02,1000,1000,900
complete,0.5,0.501,9,0.02,10000,1000,0
complete,0.5,0.501,9,0.05,10,1000,584
complete,0.5,0.501,9,0.05,100,1000,729
complete,0.5,0.501,9,0.05,1000,1000,955
complete,0.5,0.501,9,0.05,10000,1000,0
complete,0.5,0.501,9,0.1,10,1000,608
complete,0.5,0.501,9,0.1,100,1000,768
complete,0.5,0.501,9,0.1,1000,1000,982
complete,0.5,0.501,9,0.1,10000,1000,0
cycle,0.5,0.501,9,0.0001,10,1000,171
cycle,0.5,0.501,9,0.0001,100,1000,368
cycle,0.5,0.501,9,0.0001,1000,1000,799
cycle,0.5,0.501,9,0.0001,10000,1000,0
cycle,0.5,0.501,9,0.0005,10,1000,173
cycle,0.5,0.501,9,0.0005,100,1000,397
cycle,0.5,0.501,9,0.0005,1000,1000,781
cycle,0.5,0.501,9,0.0005,10000,1000,0
cycle,0.5,0.501,9,0.001,10,1000,137
cycle,0.5,0.501,9,0.001,100,1000,335
cycle,0.5,0.501,9,0.001,1000,1000,786
cycle,0.5,0.501,9,0.001,10000,1000,0
cycle,0.5,0.501,9,0.002,10,1000,143
cycle,0.5,0.501,9,0.002,100,1000,352
cycle,0.5,0.501,9,0.002,1000,1000,773
cycle,0.5,0.501,9,0.002,10000,1000,0
cycle,0.5,0.501,9,0.005,10,1000,162
cycle,0.5,0.501,9,0.005,100,1000,344
cycle,0.5,0.501,9,0.005,1000,1000,784
cycle,0.5,0.501,9,0.005,10000,1000,0
cycle,0.5,0.501,9,0.01,10,1000,153
cycle,0.5,0.501,9,0.01,100,1000,341
cycle,0.5,0.501,9,0.01,1000,1000,800
cycle,0.5,0.501,9,0.01,10000,1000,0
cycle,0.5,0.501,9,0.02,10,1000,123
cycle,0.5,0.501,9,0.02,100,1000,306
cycle,0.5,0.501,9,0.02,1000,1000,783
cycle,0.5,0.501,9,0.02,10000,1000,0
cycle,0.5,0.501,9,0.05,10,1000,113
cycle,0.5,0.501,9,0.05,100,1000,250
cycle,0.5,0.501,9,0.05,1000,1000,788
cycle,0.5,0.501,9,0.05,10000,1000,0
cycle,0.5,0.501,9,0.1,10,1000,105
cycle,0.5,0.501,9,0.1,100,1000,247
cycle,0.5,0.501,9,0.1,1000,1000,748
cycle,0.5,0.501,9,0.1,10000,1000,0
wheel,0.5,0.501,9,0.0001,10,1000,283
wheel,0.5,0.501,9,0.0001,100,1000,536
wheel,0.5,0.501,9,0.0001,1000,1000,817
wheel,0.5,0.501,9,0.0001,10000,1000,0
wheel,0.5,0.501,9,0.0005,10,1000,282
wheel,0.5,0.501,9,0.0005,100,1000,520
wheel,0.5,0.501,9,0.0005,1000,1000,810
wheel,0.5,0.501,9,0.0005,10000,1000,0
wheel,0.5,0.501,9,0.001,10,1000,288
wheel,0.5,0.501,9,0.001,100,1000,521
wheel,0.5,0.501,9,0.001,1000,1000,791
wheel,0.5,0.501,9,0.001,10000,1000,0
wheel,0.5,0.501,9,0.002,10,1000,277
wheel,0.5,0.501,9,0.002,100,1000,500
wheel,0.5,0.501,9,0.002,1000,1000,825
wheel,0.5,0.501,9,0.002,10000,1000,0
wheel,0.5,0.501,9,0.005,10,1000,290
wheel,0.5,0.501,9,0.005,100,1000,519
wheel,0.5,0.501,9,0.005,1000,1000,857
wheel,0.5,0.501,9,0.005,10000,1000,0
wheel,0.5,0.501,9,0.01,10,1000,275
wheel,0.5,0.501,9,0.01,100,1000,488
wheel,0.5,0.501,9,0.01,1000,1000,866
wheel,0.5,0.501,9,0.01,10000,1000,0
wheel,0.5,0.501,9,0.02,10,1000,262
wheel,0.5,0.501,9,0.02,100,1000,462
wheel,0.5,0.501,9,0.02,1000,1000,890
wheel,0.5,0.501,9,0.02,10000,1000,0
wheel,0.5,0.501,9,0.05,10,1000,255
wheel,0.5,0.501,9,0.05,100,1000,429
wheel,0.5,0.501,9,0.05,1000,1000,888
wheel,0.5,0.501,9,0.05,10000,1000,0
wheel,0.5,0.501,9,0.1,10,1000,210
wheel,0.5,0.501,9,0.1,100,1000,410
wheel,0.5,0.501,9,0.1,1000,1000,894
wheel,0.5,0.501,9,0.1,10000,1000,0
