scenario,network_structure,arm_restricted,num_agents_restricted,prior_ps[0],prior_ps[1],p_increment[0],p_increment[1],max_ps[0],max_ps[1],avg_final_ps[0],avg_final_ps[1],num_agents,n_steps,n_success,n_runs,avg_time_to_converge
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.5,0.5,0.5,9,100,489,1000,5.714
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.5,0.5,0.5,9,100,462,1000,43.211
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.52,0.5,0.5,9,100,548,1000,5.219
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.52,0.5,0.5,9,100,596,1000,43.056
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.54,0.5,0.5,9,100,519,1000,4.524
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.54,0.5,0.5,9,100,669,1000,43.935
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.56,0.5,0.5,9,100,545,1000,3.995
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.56,0.5,0.5,9,100,704,1000,47.485
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.5800000000000001,0.5,0.5,9,100,558,1000,4.395
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.5800000000000001,0.5,0.5,9,100,748,1000,47.752
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.6000000000000001,0.5,0.5,9,100,540,1000,3.362
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.6000000000000001,0.5,0.5,9,100,735,1000,49.032
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.6200000000000001,0.5,0.5,9,100,522,1000,3.683
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.6200000000000001,0.5,0.5,9,100,733,1000,51.378
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.6400000000000001,0.5,0.5,9,100,543,1000,3.724
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.6400000000000001,0.5,0.5,9,100,769,1000,50.778
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.6600000000000001,0.5,0.5,9,100,523,1000,3.932
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.6600000000000001,0.5,0.5,9,100,748,1000,52.663
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.6800000000000002,0.5,0.5,9,100,549,1000,3.613
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.6800000000000002,0.5,0.5,9,100,757,1000,50.938
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.7000000000000002,0.5,0.5,9,100,549,1000,4.029
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.7000000000000002,0.5,0.5,9,100,735,1000,49.157
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.7200000000000002,0.5,0.5,9,100,527,1000,3.699
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.7200000000000002,0.5,0.5,9,100,739,1000,49.595
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.7400000000000002,0.5,0.5,9,100,541,1000,4.203
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.7400000000000002,0.5,0.5,9,100,754,1000,48.201
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.7600000000000002,0.5,0.5,9,100,532,1000,4.115
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.7600000000000002,0.5,0.5,9,100,732,1000,50.319
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.7800000000000002,0.5,0.5,9,100,540,1000,3.455
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.7800000000000002,0.5,0.5,9,100,756,1000,50.567
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.8000000000000003,0.5,0.5,9,100,551,1000,3.458
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.8000000000000003,0.5,0.5,9,100,764,1000,49.886
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.8200000000000003,0.5,0.5,9,100,518,1000,3.909
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.8200000000000003,0.5,0.5,9,100,757,1000,51.392
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.8400000000000003,0.5,0.5,9,100,518,1000,3.909
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.8400000000000003,0.5,0.5,9,100,773,1000,51.177
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.8600000000000003,0.5,0.5,9,100,550,1000,3.624
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.8600000000000003,0.5,0.5,9,100,731,1000,49.35
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.8800000000000003,0.5,0.5,9,100,521,1000,3.945
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.8800000000000003,0.5,0.5,9,100,742,1000,49.874
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.9000000000000004,0.5,0.5,9,100,524,1000,3.957
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.9000000000000004,0.5,0.5,9,100,760,1000,52.031
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.9200000000000004,0.5,0.5,9,100,558,1000,3.896
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.9200000000000004,0.5,0.5,9,100,757,1000,52.148
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.9400000000000004,0.5,0.5,9,100,547,1000,3.333
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.9400000000000004,0.5,0.5,9,100,757,1000,51.461
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.9600000000000004,0.5,0.5,9,100,551,1000,3.438
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.9600000000000004,0.5,0.5,9,100,749,1000,50.624
baseline,complete,N/A,N/A,0.5,0.5,0.001,0.001,0.5,0.9800000000000004,0.5,0.5,9,100,510,1000,4.262
restrict_dissemination,star,random,N/A,0.5,0.5,0.001,0.001,0.5,0.9800000000000004,0.5,0.5,9,100,737,1000,54.307
