population size,network type,epsilon value,binomial n,portion converged,average round converged,standard deviation
4,complete,0.001,1000,0.72,226.86111111111111,140.7228664941167
4,cycle,0.001,1000,0.78,380.06410256410254,212.548355870303
4,star,0.001,1000,0.03,799.0,219.64668599063057
5,complete,0.001,1000,0.75,204.44,120.78280672347367
5,cycle,0.001,1000,0.86,529.1046511627907,291.2707934116391
5,star,0.001,1000,0.0,na,na
6,complete,0.001,1000,0.84,153.75,88.71528496101608
6,cycle,0.001,1000,0.82,640.9268292682926,430.4064947739578
6,star,0.001,1000,0.0,na,na
7,complete,0.001,1000,0.85,141.05882352941177,88.74329839700924
7,cycle,0.001,1000,0.94,796.5744680851063,483.4857583187508
7,star,0.001,1000,0.0,na,na
8,complete,0.001,1000,0.89,152.23595505617976,94.4555091120468
8,cycle,0.001,1000,0.93,734.1935483870968,459.7967587023808
8,star,0.001,1000,0.0,na,na
9,complete,0.001,1000,0.87,146.9655172413793,96.4148660588514
9,cycle,0.001,1000,0.96,779.90625,414.4296300872693
9,star,0.001,1000,0.0,na,na
10,complete,0.001,1000,0.92,111.56521739130434,66.76700310193358
10,cycle,0.001,1000,0.97,835.7938144329897,460.15010859062676
10,star,0.001,1000,0.0,na,na
