scenario,network_structure,which_arm_restricted,ps[0],ps[1],num_agents,steps_until_change,n_steps,n_success,n_runs,avg_time_to_converge,min_time_to_converge,median_time_to_converge,max_time_to_converge,stnd_dev_time_to_converge
baseline,complete,N/A,0.5,0.51,9,5,1000,598,1000,46.499,0,4.5,966,128.8869970128872
restrict_dissemination,star,random,0.5,0.51,9,5,1000,740,1000,295.55,0,138.5,999,329.1515722277504
baseline,complete,N/A,0.5,0.53,9,5,1000,738,1000,37.045,0,5.0,953,94.69857958280049
restrict_dissemination,star,random,0.5,0.53,9,5,1000,952,1000,134.614,0,49.5,999,202.77554340698978
baseline,complete,N/A,0.5,0.55,9,5,1000,779,1000,26.48,0,3.0,987,86.3547775169388
restrict_dissemination,star,random,0.5,0.55,9,5,1000,983,1000,57.853,0,13.0,945,118.50279064646537
baseline,complete,N/A,0.5,0.5700000000000001,9,5,1000,858,1000,19.12,0,3.0,784,57.87733235041159
restrict_dissemination,star,random,0.5,0.5700000000000001,9,5,1000,992,1000,31.353,0,8.0,680,63.42498238864556
baseline,complete,N/A,0.5,0.5900000000000001,9,5,1000,910,1000,14.523,0,2.0,726,50.638695391962855
restrict_dissemination,star,random,0.5,0.5900000000000001,9,5,1000,986,1000,15.925,0,3.0,696,39.45713338548557
baseline,complete,N/A,0.5,0.6100000000000001,9,5,1000,921,1000,12.618,0,2.0,874,58.49517993817952
restrict_dissemination,star,random,0.5,0.6100000000000001,9,5,1000,997,1000,10.972,0,2.0,463,27.830868042517107
baseline,complete,N/A,0.5,0.6300000000000001,9,5,1000,952,1000,8.107,0,1.0,876,35.20831650334904
restrict_dissemination,star,random,0.5,0.6300000000000001,9,5,1000,994,1000,9.213,0,2.0,910,40.38927618811706
baseline,complete,N/A,0.5,0.6500000000000001,9,5,1000,974,1000,8.739,0,1.0,958,51.118361466306794
restrict_dissemination,star,random,0.5,0.6500000000000001,9,5,1000,1000,1000,5.225,0,1.0,438,16.327534259648637
baseline,complete,N/A,0.5,0.6700000000000002,9,5,1000,977,1000,6.558,0,0.0,574,34.63016944804053
restrict_dissemination,star,random,0.5,0.6700000000000002,9,5,1000,997,1000,4.286,0,0.0,718,23.826837893434377
baseline,complete,N/A,0.5,0.6900000000000002,9,5,1000,987,1000,5.211,0,0.0,931,43.7068699291084
restrict_dissemination,star,random,0.5,0.6900000000000002,9,5,1000,1000,1000,2.701,0,0.0,45,5.315035183326636
baseline,complete,N/A,0.5,0.7100000000000002,9,5,1000,988,1000,2.811,0,0.0,295,13.218520302968864
restrict_dissemination,star,random,0.5,0.7100000000000002,9,5,1000,999,1000,2.005,0,0.0,81,4.77838623386599
baseline,complete,N/A,0.5,0.7300000000000002,9,5,1000,997,1000,1.843,0,0.0,122,5.716673070939076
restrict_dissemination,star,random,0.5,0.7300000000000002,9,5,1000,1000,1000,1.77,0,0.0,75,4.274470727470244
baseline,complete,N/A,0.5,0.7500000000000002,9,5,1000,997,1000,1.679,0,0.0,146,6.838417872578422
restrict_dissemination,star,random,0.5,0.7500000000000002,9,5,1000,1000,1000,1.318,0,0.0,24,3.025702563042177
baseline,complete,N/A,0.5,0.7700000000000002,9,5,1000,1000,1000,0.887,0,0.0,25,2.1303124184025215
restrict_dissemination,star,random,0.5,0.7700000000000002,9,5,1000,1000,1000,0.989,0,0.0,36,2.2940965542016754
baseline,complete,N/A,0.5,0.7900000000000003,9,5,1000,996,1000,0.759,0,0.0,23,2.057891882485569
restrict_dissemination,star,random,0.5,0.7900000000000003,9,5,1000,1000,1000,1.035,0,0.0,109,5.379941914184576
baseline,complete,N/A,0.5,0.8100000000000003,9,5,1000,1000,1000,0.59,0,0.0,13,1.481856943162868
restrict_dissemination,star,random,0.5,0.8100000000000003,9,5,1000,999,1000,0.578,0,0.0,22,1.6756837410442342
baseline,complete,N/A,0.5,0.8300000000000003,9,5,1000,999,1000,0.777,0,0.0,215,7.171280987382939
restrict_dissemination,star,random,0.5,0.8300000000000003,9,5,1000,1000,1000,0.548,0,0.0,16,1.4552305659241769
baseline,complete,N/A,0.5,0.8500000000000003,9,5,1000,999,1000,0.929,0,0.0,378,12.673829689561085
restrict_dissemination,star,random,0.5,0.8500000000000003,9,5,1000,1000,1000,0.336,0,0.0,8,0.8894402734304311
baseline,complete,N/A,0.5,0.8700000000000003,9,5,1000,1000,1000,0.364,0,0.0,10,0.9917177017679981
restrict_dissemination,star,random,0.5,0.8700000000000003,9,5,1000,1000,1000,0.565,0,0.0,262,8.319481654526323
baseline,complete,N/A,0.5,0.8900000000000003,9,5,1000,999,1000,0.437,0,0.0,180,5.784464625183561
restrict_dissemination,star,random,0.5,0.8900000000000003,9,5,1000,999,1000,0.317,0,0.0,48,1.7437061105587717
baseline,complete,N/A,0.5,0.9100000000000004,9,5,1000,1000,1000,0.19,0,0.0,24,0.9507365565707464
restrict_dissemination,star,random,0.5,0.9100000000000004,9,5,1000,1000,1000,0.283,0,0.0,56,1.927410438905009
baseline,complete,N/A,0.5,0.9300000000000004,9,5,1000,1000,1000,0.16,0,0.0,20,1.0268398122394748
restrict_dissemination,star,random,0.5,0.9300000000000004,9,5,1000,1000,1000,0.203,0,0.0,65,2.1137149760551917
baseline,complete,N/A,0.5,0.9500000000000004,9,5,1000,999,1000,0.368,0,0.0,93,4.061843916252815
restrict_dissemination,star,random,0.5,0.9500000000000004,9,5,1000,1000,1000,0.155,0,0.0,27,1.020281823811441
baseline,complete,N/A,0.5,0.9700000000000004,9,5,1000,1000,1000,0.063,0,0.0,5,0.3240848654287947
restrict_dissemination,star,random,0.5,0.9700000000000004,9,5,1000,1000,1000,0.074,0,0.0,6,0.366775135471313
baseline,complete,N/A,0.5,0.9900000000000004,9,5,1000,1000,1000,0.051,0,0.0,9,0.4004984394476462
restrict_dissemination,star,random,0.5,0.9900000000000004,9,5,1000,1000,1000,0.05,0,0.0,7,0.4068169121361598
