network_structure,grid_size,sigma,num_agents,agent_range,agent_strategy,epsilon,num_timesteps,num_simulations,success_proportion,avg_time_to_peak,avg_max_visits,avg_visits,redundancy
complete,41,0.5,10,2,default,0,200,300,0.10666666666666667,108.65625,2.0,0.02775012937517834,7.91
isolated,41,0.5,10,2,default,0,200,300,0.09333333333333334,98.28571428571429,1.95,0.027786402789667396,30.296666666666667
complete,41,0.5,10,4,default,0,200,300,0.12333333333333334,118.29729729729729,2.776666666666667,0.027701764822526277,26.37
isolated,41,0.5,10,4,default,0,200,300,0.17,104.49019607843137,2.1033333333333335,0.026807987889516015,31.596666666666668
complete,41,0.5,10,6,default,0,200,300,0.13666666666666666,102.14634146341463,3.71,0.0272234393967973,49.95
isolated,41,0.5,10,6,default,0,200,300,0.15,107.88888888888889,2.12,0.027159114541770044,33.78333333333333
complete,41,0.5,10,unlimited,default,0,200,300,0.17333333333333334,114.84615384615384,8.48,0.02702224285776469,61.906666666666666
isolated,41,0.5,10,unlimited,default,0,200,300,0.14,105.73809523809524,2.1766666666666667,0.027249072609702895,28.78
complete,41,1,10,2,default,0,200,300,0.2,82.31666666666666,1.9466666666666668,0.025748804186435676,7.63
isolated,41,1,10,2,default,0,200,300,0.17666666666666667,82.43396226415095,1.9233333333333333,0.02615022997344786,48.32333333333333
complete,41,1,10,4,default,0,200,300,0.2833333333333333,105.68235294117648,2.69,0.025286439063081884,23.69333333333333
isolated,41,1,10,4,default,0,200,300,0.3,102.38888888888889,2.1133333333333333,0.024914999298713988,52.553333333333335
complete,41,1,10,6,default,0,200,300,0.37333333333333335,98.79464285714286,3.6933333333333334,0.0236817032060862,44.77333333333333
isolated,41,1,10,6,default,0,200,300,0.36,109.31481481481481,2.1433333333333335,0.0244270009624546,50.01
complete,41,1,10,unlimited,default,0,200,300,0.3333333333333333,94.23,7.966666666666667,0.024048306515188887,48.44
isolated,41,1,10,unlimited,default,0,200,300,0.4166666666666667,106.576,2.1066666666666665,0.023515812790489598,30.84
complete,41,2,10,2,default,0,200,300,0.42333333333333334,72.18897637795276,1.86,0.021313291062714318,5.593333333333334
isolated,41,2,10,2,default,0,200,300,0.38666666666666666,70.19827586206897,1.9066666666666667,0.02188157455637614,85.49
complete,41,2,10,4,default,0,200,300,0.57,72.23976608187135,2.47,0.018597621431300573,14.653333333333334
isolated,41,2,10,4,default,0,200,300,0.53,83.94339622641509,2.16,0.020239114348311837,86.64
complete,41,2,10,6,default,0,200,300,0.7066666666666667,86.64622641509433,3.51,0.01754133960137936,30.69
isolated,41,2,10,6,default,0,200,300,0.73,84.44292237442923,2.22,0.01692420790953894,80.76
complete,41,2,10,unlimited,default,0,200,300,0.7933333333333333,66.89075630252101,7.296666666666667,0.013841934969022503,42.56
isolated,41,2,10,unlimited,default,0,200,300,0.86,81.51550387596899,2.0533333333333332,0.014379265148987005,41.77
complete,41,3,10,2,default,0,200,300,0.6933333333333334,53.54807692307692,2.026666666666667,0.014431015220324715,6.1
isolated,41,3,10,2,default,0,200,300,0.6733333333333333,59.83168316831683,2.0733333333333333,0.015469885811291188,107.63
complete,41,3,10,4,default,0,200,300,0.7866666666666666,57.96610169491525,2.39,0.012952027200224411,9.866666666666667
isolated,41,3,10,4,default,0,200,300,0.8233333333333334,62.48178137651822,2.203333333333333,0.012735837649869658,71.53333333333333
complete,41,3,10,6,default,0,200,300,0.9266666666666666,62.26978417266187,3.02,0.010645521684247183,17.263333333333332
isolated,41,3,10,6,default,0,200,300,0.91,73.13919413919415,2.4066666666666667,0.01241372972920687,85.51666666666667
complete,41,3,10,unlimited,default,0,200,300,0.9366666666666666,46.804270462633454,6.696666666666666,0.00834385262353516,40.61666666666667
isolated,41,3,10,unlimited,default,0,200,300,0.96,65.05208333333333,2.24,0.010366941860971257,51.10333333333333
